,price,Volume,day_of_week,week_of_year,month_of_year,quarter_of_year,semester_of_year,lag_1_week,Vol_1_month,SMA20,SMA50,RSI,return
2019-12-24,313.9648132324219,452.0,1,52,12,4,2,309.8843994140625,17007.0,308.0418182373047,303.1527496337891,88.64843869606881,0.0011632880159633263
2019-12-25,313.9648132324219,0.0,2,52,12,4,2,310.7395935058594,8972.0,308.2742889404297,303.5715777587891,88.60865013115743,0.0
2019-12-27,313.5445861816406,5705.0,4,52,12,4,2,311.1698913574219,1200.0,308.4911880493164,304.0004693603516,83.29317742906997,-0.001338452696194814
2019-12-30,310.34521484375,1981.0,0,1,12,4,2,313.9613037109375,1706.0,308.6167984008789,304.3865399169922,60.86390211411797,-0.010203880018636924
2019-12-31,309.34130859375,1441.0,1,1,12,4,2,313.6000061035156,4531.0,308.94508361816406,304.72374633789065,43.17744921207519,-0.0032348049912914734
2020-01-02,313.1340026855469,1318.0,3,1,1,1,1,313.9648132324219,26342.0,309.594189453125,305.1216064453125,62.2912179367311,0.01226054841830937
2020-01-03,313.1236877441406,2538.0,4,1,1,1,1,313.9648132324219,2743.0,310.0555938720703,305.52012817382814,59.63322662904889,-3.294098155348646e-05
2020-01-06,312.2969970703125,3894.0,0,2,1,1,1,313.5445861816406,1577.0,310.520768737793,305.8661999511719,54.41285059179727,-0.0026401409608577397
2020-01-07,314.0155029296875,8722.0,1,2,1,1,1,310.34521484375,7517.0,310.82804412841796,306.2255560302734,50.231663857829346,0.0055027934161917536
2020-01-08,314.5404052734375,2685.0,2,2,1,1,1,309.34130859375,1604.0,311.21775970458987,306.5748040771484,53.96410883128578,0.0016715809851832741
2020-01-09,317.3245849609375,17562.0,3,2,1,1,1,313.1340026855469,857.0,311.8017639160156,306.98146362304686,61.76325400200448,0.008851580403731019
2020-01-10,317.08489990234375,1612.0,4,2,1,1,1,313.1236877441406,94717.0,312.37190399169924,307.3963958740234,60.7437469394103,-0.000755330881857974
2020-01-13,316.65838623046875,2310.0,0,3,1,1,1,312.2969970703125,4614.0,312.854833984375,307.83582946777346,60.7174593971173,-0.0013451087453434374
2020-01-14,317.9648132324219,1246.0,1,3,1,1,1,314.0155029296875,2834.0,313.3702102661133,308.24655578613283,80.15556119183063,0.004125666834549957
2020-01-15,318.0203857421875,1307.0,2,3,1,1,1,314.5404052734375,12294.0,313.7339797973633,308.6047833251953,87.13614165208534,0.0001747756589816074
2020-01-16,319.1911926269531,95151.0,3,3,1,1,1,317.3245849609375,1034.0,314.19931945800784,308.95528503417967,83.41492814718043,0.0036815466468704816
2020-01-17,321.9718933105469,18075.0,4,3,1,1,1,317.08489990234375,10389.0,314.7609344482422,309.36114501953125,87.38472726522528,0.008711708680645192
2020-01-20,322.3367004394531,1921.0,0,4,1,1,1,316.65838623046875,57406.0,315.31927490234375,309.72787109375,94.14181477615185,0.001133040294776233
2020-01-21,321.8418884277344,3558.0,1,4,1,1,1,317.9648132324219,24141.0,315.7133041381836,310.0946710205078,88.55967498939987,-0.001535078106353227
2020-01-22,322.43701171875,3081.0,2,4,1,1,1,318.0203857421875,2442.0,316.1551544189453,310.48577697753905,88.63829126399159,0.0018491169497014681
2020-01-23,321.340087890625,3706.0,3,4,1,1,1,319.1911926269531,452.0,316.52391815185547,310.8121905517578,73.53374636924265,-0.0034019786446904954
2020-01-24,322.81329345703125,18206.0,4,4,1,1,1,321.9718933105469,0.0,316.9663421630859,311.1822686767578,79.33157486811511,0.004584568256257082
2020-01-27,315.80999755859375,4198.0,0,5,1,1,1,322.3367004394531,5705.0,317.0796127319336,311.4264825439453,47.40421749295964,-0.021694570949785552
2020-01-28,319.45849609375,2471.0,1,5,1,1,1,321.8418884277344,1981.0,317.53527679443357,311.7139685058594,53.997278796006064,0.011552827850167535
2020-01-29,320.20379638671875,1482.0,2,5,1,1,1,322.43701171875,1441.0,318.07840118408205,312.0216442871094,55.63505190365925,0.002333011336627777
2020-01-30,316.6575012207031,70847.0,3,5,1,1,1,321.340087890625,1318.0,318.2545761108398,312.26264404296876,44.1751441761264,-0.0110751190524071
2020-01-31,313.29998779296875,20082.0,4,5,1,1,1,322.81329345703125,2538.0,318.2633911132813,312.44124389648437,30.57871348098817,-0.010602980869839795
2020-02-03,314.847412109375,3309.0,0,6,2,1,1,315.80999755859375,3894.0,318.3909118652344,312.6795983886719,34.07103254089519,0.004939113873916989
2020-02-04,320.69769287109375,2496.0,1,6,2,1,1,319.45849609375,8722.0,318.7250213623047,313.007578125,48.01794438846662,0.01858132078178376
2020-02-05,323.4975891113281,7704.0,2,6,2,1,1,320.20379638671875,2685.0,319.1728805541992,313.3281219482422,51.70682977475721,0.008730640420789637
2020-02-06,326.0520935058594,1263.0,3,6,2,1,1,316.6575012207031,17562.0,319.6092559814453,313.6930517578125,57.24339686194372,0.007896517564624395
2020-02-07,325.8752136230469,57520.0,4,6,2,1,1,313.29998779296875,1612.0,320.0487716674805,314.024248046875,54.90222711686525,-0.0005424896399548462
