date, predicted_value, price
2025-03-18 00:00:00, 0.8957175016403198, 556.4341985519004
2025-03-19 00:00:00, 0.8929387331008911, 555.3967525512544
2025-03-20 00:00:00, 0.8877694606781006, 553.466818148594
2025-03-21 00:00:00, 0.8800501227378845, 550.5848234232044
2025-03-24 00:00:00, 0.8786843419075012, 550.0749127055124
2025-03-25 00:00:00, 0.8752090334892273, 548.7774153542969
2025-03-26 00:00:00, 0.8792967796325684, 550.3035647358993
2025-03-27 00:00:00, 0.8830901384353638, 551.7198053702432
2025-03-28 00:00:00, 0.8917492628097534, 554.952666914427
2025-03-31 00:00:00, 0.9000003337860107, 558.0331827846421
2025-04-01 00:00:00, 0.9103164076805115, 561.8846621188723
2025-04-02 00:00:00, 0.9096014499664307, 561.6177345174619
2025-04-03 00:00:00, 0.9143818020820618, 563.402466535862
2025-04-04 00:00:00, 0.9236698150634766, 566.8701220043877
2025-04-07 00:00:00, 0.9332265257835388, 570.438095074177
2025-04-08 00:00:00, 0.9423738121986389, 573.8532106455013
2025-04-09 00:00:00, 0.947770357131958, 575.8679966483433
2025-04-10 00:00:00, 0.9543124437332153, 578.3104676508938
2025-04-11 00:00:00, 0.9563336968421936, 579.065097237507
2025-04-14 00:00:00, 0.962378978729248, 581.3220874932667
